CountryOrTerritory,StationName,StationCode,StationType,StationArea,PollutantCode,Pollutant,Latitude,Longitude,Altitude,MeasurementRegime,OperationalActivityBegin,OperationalActivityEnd,MeasurementMethodCode,MeasurementMethod,OperationYear,PollutantType,isAir
Germany,Stuttgart-Bad Cannstatt,DEBW013,Background,Urban,PTAC052,Particulate matter < 2.5 µm ,48.8088,9.229745,11.0,Continuous data collection,2005-06-22T23:00:01Z,Not Specified,PMME064,Light scattering,2005,aerosol,0
Germany,Brandenburg a.d. Havel,DEBB055,Background,Suburban,PTAC049,Ozone ,52.420442,12.552303,11.0,Continuous data collection,2001-09-30T23:00:01Z,Not Specified,PMME056,Ultraviolet (UV) photometry,2001,air,1
Germany,Trier Kaiserstraße,DERP036,Traffic,Urban,PTAC052,Particulate matter < 2.5 µm ,49.750128000000004,6.636977000000001,74.0,Continuous data collection,2009-07-20T23:00:01Z,2013-12-31T24:00:00+01:00,PMME041,Nephelometry + BETA,2009,aerosol,0
Germany,Tiefenbach/Altenschneeberg,DEBY072,Background,Rural-Regional,PTAC043,Nitrogen dioxide ,49.438464,12.548869,198.0,Continuous data collection,1987-12-31T23:00:01Z,Not Specified,PMME045,Chemiluminescence,1987,air,1
Germany,Kaiserslautern-Marienplatz,DERP035,Traffic,Urban,PTAC044,Nitrogen monoxide ,49.441721,7.761271000000001,209.0,Continuous data collection,1996-12-31T23:00:01Z,2013-02-06T24:00:00+01:00,PMME045,Chemiluminescence,1996,air,1
Germany,Bonn-Auerberg,DENW062,Background,Suburban,PTAC051,Particulate matter < 10 µm ,50.753629,7.082648,588.0,Continuous data collection,2011-12-31T23:00:01Z,2013-10-28T24:00:00+01:00,PMME019,Tapered Element Oscillating Microbalance (TEOM),2011,aerosol,0
Germany,Arzberg/Egerstraße,DEBY002,Background,Suburban,PTAC049,Ozone ,50.058195,12.18865,564.0,Continuous data collection,1980-11-30T23:00:01Z,Not Specified,PMME056,Ultraviolet (UV) photometry,1980,air,1
Germany,Villingen-Schwenningen,DEBW039,Background,Suburban,PTAC051,Particulate matter < 10 µm ,48.048656,8.463597,558.0,Continuous data collection,2005-05-01T23:00:01Z,Not Specified,PMME064,Light scattering,2005,aerosol,0
Germany,Oker/Harlingerode,DENI016,Background,Suburban,PTAC051,Particulate matter < 10 µm ,51.901579999999996,10.48132,581.0,Continuous data collection,2012-12-31T23:00:01Z,2015-04-22T24:00:00+01:00,PMME045,Chemiluminescence,2012,aerosol,0
Germany,Berlin Neukölln,DEBE034,Background,Urban,PTAC010,Cadmium in PM10 ,52.489451,13.430844,65.0,Continuous data collection,2007-12-31T23:00:01Z,2012-12-31T24:00:00+01:00,PMME064,Light scattering,2007,aerosol,0
Germany,Königs Wusterhausen,DEBB082,Background,Suburban,PTAC058,sodium in PM10 ,52.294633000000005,13.619784,65.0,Continuous data collection,2009-12-31T23:00:01Z,2010-12-31T24:00:00+01:00,PMME064,Light scattering,2009,aerosol,0
Germany,Potsdam Zeppelinstr.,DEBB054,Traffic,Urban,PTAC052,Particulate matter < 2.5 µm ,52.393932,13.037474000000001,65.0,Continuous data collection,2018-12-31T23:00:01Z,Not Specified,PMME064,Light scattering,2018,aerosol,0
Germany,Stuttgart Arnulf-Klett-Platz,DEBW099,Traffic,Urban,PTAC039,Nickel in PM10 ,48.78313,9.180719999999999,12.0,Continuous data collection,2014-12-31T23:00:01Z,2015-12-31T24:00:00+01:00,PMME064,Light scattering,2014,aerosol,0
Germany,"Premnitz, OT Döberitz",DEBB088,Industrial,Suburban,PTAC007,Arsenic in PM10 ,52.52401,12.370161999999999,190.0,Continuous data collection,2013-12-31T23:00:01Z,2014-09-04T24:00:00+01:00,PMME024,Light absorption,2013,aerosol,0
Germany,Mühlhausen Bastmarkt,DETH095,Background,Urban,PTAC039,Nickel in PM10 ,51.207944,10.450997000000001,15.0,Continuous data collection,2009-12-31T23:00:01Z,2010-12-31T24:00:00+01:00,PMME064,Light scattering,2009,aerosol,0
Germany,Speyer-St.-Guido-Stifts-Platz,DERP018,Traffic,Urban,PTAC043,Nitrogen dioxide ,49.318843,8.435041,15.0,Continuous data collection,1984-12-31T23:00:01Z,2012-10-23T24:00:00+01:00,PMME045,Chemiluminescence,1984,air,1
Germany,Eberswalde Breite Straße,DEBB060,Traffic,Urban,PTAC063,Toluene ,52.832467,13.822211,11.0,Continuous data collection,2018-12-31T23:00:01Z,Not Specified,PMME064,Light scattering,2018,air,1
Germany,Schwartenberg,DESN074,Background,Rural-Regional,PTAC049,Ozone ,50.659096999999996,13.465078,75.0,Continuous data collection,2012-12-31T23:00:01Z,Not Specified,PMME056,Ultraviolet (UV) photometry,2012,air,1
Germany,Löcknitz,DEMV012,Background,Rural,PTAC027,indeno_123cd_pyrene in PM10 ,53.520456,14.257407,580.0,Continuous data collection,2015-12-31T23:00:01Z,2018-12-31T24:00:00+01:00,PMME045,Chemiluminescence,2015,aerosol,0
Germany,Bremen-Mitte,DEHB001,Background,Urban,PTAC015,Carbon monoxide ,53.077151,8.81578,65.0,Continuous data collection,1986-12-31T23:00:01Z,Not Specified,PMME053,Infrared gas filter correlation,1986,air,1
Germany,Offenbach-Untere Grenzstraße,DEHE116,Traffic,Urban,PTAC048,o-Xylene ,50.101494,8.784892,67.0,Continuous data collection,2013-12-31T23:00:01Z,Not Specified,PMME064,Light scattering,2013,air,1
Germany,Neuruppin,DEBB048,Background,Suburban,PTAC048,o-Xylene ,52.93189,12.809481,548.0,Continuous data collection,2017-12-31T23:00:01Z,2018-12-31T24:00:00+01:00,PMME045,Chemiluminescence,2017,air,1
Germany,München/Landshuter Allee,DEBY115,Traffic,Urban,PTAC010,Cadmium in PM10 ,48.149606,11.536513000000001,67.0,Continuous data collection,2007-12-31T23:00:01Z,Not Specified,PMME064,Light scattering,2007,aerosol,0
Germany,Löcknitz,DEMV012,Background,Rural,PTAC043,Nitrogen dioxide ,53.520456,14.257407,68.0,Continuous data collection,1994-01-14T23:00:01Z,Not Specified,PMME045,Chemiluminescence,1994,air,1
Germany,Ansbach/Residenzstraße,DEBY001,Traffic,Urban,PTAC044,Nitrogen monoxide ,49.304889,10.572297,564.0,Continuous data collection,1989-06-30T23:00:01Z,Not Specified,PMME045,Chemiluminescence,1989,air,1
Germany,Zeitz,DEST028,Background,Urban,PTAC062,Sulphur dioxide ,51.054558,12.141322,211.0,Continuous data collection,1993-03-01T23:00:01Z,Not Specified,PMME044,UV fluorescence,1993,air,1
Germany,Bremen-Ost,DEHB002,Background,Urban,PTAC043,Nitrogen dioxide ,53.060044999999995,8.916966,65.0,Continuous data collection,1986-12-31T23:00:01Z,Not Specified,PMME045,Chemiluminescence,1986,air,1
Germany,Essen Gladbecker Straße,DENW134,Traffic,Urban,PTAC030,"m,p-Xylene ",51.477899,7.005275999999999,14.0,Continuous data collection,2003-10-28T23:00:01Z,Not Specified,PMME064,Light scattering,2003,air,1
