CountryOrTerritory,StationName,StationCode,StationType,StationArea,PollutantCode,Pollutant,Latitude,Longitude,Altitude,MeasurementRegime,OperationalActivityBegin,OperationalActivityEnd,MeasurementMethodCode,MeasurementMethod,OperationYear,PollutantType,isAir
Germany,München/Lothstraße,DEBY039,Background,Urban,PTAC049,Ozone ,48.154534000000005,11.554669,66.0,Continuous data collection,1989-02-28T23:00:01Z,Not Specified,PMME056,Ultraviolet (UV) photometry,1989,air,1
Germany,Köln-Chorweiler,DENW053,Background,Urban,PTAC049,Ozone ,51.019338,6.884571,587.0,Continuous data collection,2011-12-31T23:00:01Z,Not Specified,PMME056,Ultraviolet (UV) photometry,2011,air,1
Germany,Heilbronn,DEBW015,Background,Urban,PTAC052,Particulate matter < 2.5 µm ,49.165508,9.224786,65.0,Continuous data collection,2014-12-31T23:00:01Z,Not Specified,PMME064,Light scattering,2014,aerosol,0
Germany,Braunschweig-Verkehr,DENI075,Traffic,Urban,PTAC009,Benzene ,52.266729999999995,10.54055,70.0,Continuous data collection,2008-01-29T23:00:01Z,2013-12-31T24:00:00+01:00,PMME064,Light scattering,2008,air,1
Germany,Augsburg/Bourges-Platz,DEBY007,Background,Urban,PTAC051,Particulate matter < 10 µm ,48.376576,10.88837,67.0,Continuous data collection,2014-12-03T23:00:01Z,Not Specified,PMME041,Nephelometry + BETA,2014,aerosol,0
Germany,Stuttgart Arnulf-Klett-Platz,DEBW099,Traffic,Urban,PTAC015,Carbon monoxide ,48.78313,9.180719999999999,65.0,Continuous data collection,1996-11-04T23:00:01Z,Not Specified,PMME053,Infrared gas filter correlation,1996,air,1
Germany,Trier-Ostallee,DERP020,Traffic,Urban,PTAC045,Nitrogen oxides ,49.754231,6.646717999999999,208.0,Continuous data collection,1985-12-31T23:00:01Z,Not Specified,PMME045,Chemiluminescence,1985,air,1
Germany,Hummelshain,DETH061,Background,Rural-Remote,PTAC062,Sulphur dioxide ,50.791616,11.661233,210.0,Continuous data collection,1999-12-28T23:00:01Z,Not Specified,PMME044,UV fluorescence,1999,air,1
Germany,Trier-Ostallee,DERP020,Traffic,Urban,PTAC051,Particulate matter < 10 µm ,49.754231,6.646717999999999,208.0,Continuous data collection,2008-10-01T23:00:01Z,Not Specified,PMME041,Nephelometry + BETA,2008,aerosol,0
Germany,Ostfriesland,DENI029,Background,Suburban,PTAC051,Particulate matter < 10 µm ,53.36235,7.207260000000001,13.0,Periodic data collection,2009-12-31T23:00:01Z,2014-10-21T24:00:00+01:00,PMME031,Beta ray attenuation,2009,aerosol,0
Germany,Greiz Mollbergstr.,DETH036,Background,Urban,PTAC051,Particulate matter < 10 µm ,50.655861,12.205199,75.0,Continuous data collection,2011-08-10T23:00:01Z,2016-09-26T24:00:00+01:00,PMME041,Nephelometry + BETA,2011,aerosol,0
